生效日,触发日,类型,原因
2018-01-01,,年初初始化,年初初始化：按年度实验规则重新建立模型，并非阈值触发
2018-01-03,2018-01-02,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.498% → +2.974%；黄金：回到区间内，±3%边界；MA20偏离 +3.201% → +2.942%
2018-01-24,2018-01-23,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.298% → -3.704%
2018-01-25,2018-01-24,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.704% → +0.044%
2018-02-08,2018-02-07,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.364% → -5.808%；铜：进入外侧，±3%边界；MA20偏离 -0.163% → -3.138%
2018-02-11,2018-02-09,阈值穿越,A500指数：进入外侧，±8%边界；MA20偏离 -5.984% → -9.231%
2018-02-12,2018-02-11,阈值穿越,A500指数：回到区间内，±8%边界；MA20偏离 -9.231% → -7.307%；铜：回到区间内，±3%边界；MA20偏离 -4.369% → -2.515%
2018-02-15,2018-02-14,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.617% → -4.523%
2018-03-09,2018-03-08,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.441% → -3.206%
2018-03-12,2018-03-09,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.206% → -1.475%
2018-03-21,2018-03-20,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.259% → -3.366%
2018-03-22,2018-03-21,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.366% → -2.416%
2018-03-23,2018-03-22,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.416% → -3.331%
2018-03-28,2018-03-27,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -4.227% → -2.952%
2018-04-19,2018-04-18,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.021% → +3.333%
2018-04-20,2018-04-19,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.333% → +2.188%
2018-06-06,2018-06-05,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.885% → +3.709%
2018-06-15,2018-06-14,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.565% → +2.334%
2018-06-19,2018-06-18,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -2.273% → -5.711%
2018-06-20,2018-06-19,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.465% → -3.232%
2018-06-21,2018-06-20,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.282% → -4.479%
2018-06-22,2018-06-21,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.479% → -5.443%
2018-06-25,2018-06-22,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.443% → -4.573%
2018-06-26,2018-06-25,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.573% → -5.368%
2018-07-02,2018-06-29,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -7.321% → -4.348%
2018-07-03,2018-07-02,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.348% → -6.360%
2018-07-05,2018-07-04,阈值穿越,铜：进入外侧，±8%边界；MA20偏离 -6.115% → -8.387%
2018-07-06,2018-07-05,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 -8.387% → -7.701%
2018-07-10,2018-07-09,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.310% → -2.269%
2018-07-25,2018-07-24,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.176% → -0.579%
2018-08-07,2018-08-06,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.772% → -5.844%
2018-08-08,2018-08-07,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.844% → -2.975%
2018-08-16,2018-08-15,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.760% → -6.847%；黄金：进入外侧，±3%边界；MA20偏离 -1.937% → -3.016%
2018-08-17,2018-08-16,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.016% → -2.939%
2018-08-20,2018-08-17,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.439% → -5.540%
2018-08-21,2018-08-20,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.540% → -4.238%；铜：回到区间内，±3%边界；MA20偏离 -4.080% → -2.514%
2018-09-04,2018-09-03,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.338% → -3.602%
2018-09-06,2018-09-05,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.310% → -2.753%
2018-09-24,2018-09-21,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.407% → +6.496%
2018-09-30,2018-09-29,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.931% → +2.919%
2018-10-04,2018-10-03,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.577% → +3.171%
2018-10-05,2018-10-04,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.171% → +0.828%
2018-10-12,2018-10-11,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -1.280% → -6.170%
2018-10-15,2018-10-12,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -6.170% → -4.811%
2018-10-16,2018-10-15,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -4.811% → -5.847%
2018-10-22,2018-10-19,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -7.327% → -4.200%
2018-10-31,2018-10-30,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.325% → -3.541%
2018-11-02,2018-11-01,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.448% → -1.134%
2018-12-19,2018-12-18,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.540% → -3.586%
2018-12-20,2018-12-19,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.586% → -1.470%
2018-12-30,2018-12-29,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.653% → -3.190%
2018-12-31,2018-12-30,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.190% → -2.965%
