生效日,触发日,类型,原因
2024-01-01,,年初初始化,年初初始化：按年度实验规则重新建立模型，并非阈值触发
2024-01-10,2024-01-09,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.463% → -3.271%；铜：进入外侧，±3%边界；MA20偏离 -1.787% → -3.081%
2024-01-11,2024-01-10,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.271% → -2.540%；铜：回到区间内，±3%边界；MA20偏离 -3.081% → -2.364%
2024-01-14,2024-01-12,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.340% → -3.135%
2024-01-15,2024-01-14,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.135% → -2.700%；美元指数：进入外侧，±1%边界；MA20偏离 +0.376% → +1.258%
2024-01-22,2024-01-19,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.123% → +0.789%
2024-01-23,2024-01-22,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +2.815% → +4.028%
2024-01-26,2024-01-25,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.107% → +3.934%
2024-01-29,2024-01-26,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.934% → +4.739%
2024-01-31,2024-01-30,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.105% → +3.142%
2024-02-01,2024-01-31,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.776% → +2.871%；铜：回到区间内，±3%边界；MA20偏离 +3.142% → +2.925%
2024-02-05,2024-02-04,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.691% → -3.301%；美元指数：进入外侧，±1%边界；MA20偏离 +0.675% → +1.097%
2024-02-06,2024-02-05,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.097% → +0.994%
2024-02-07,2024-02-06,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.315% → -1.115%
2024-02-12,2024-02-09,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.546% → -3.014%
2024-02-13,2024-02-12,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.014% → -1.895%
2024-02-14,2024-02-13,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.440% → +1.128%
2024-02-15,2024-02-14,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.128% → +0.839%
2024-02-29,2024-02-28,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 -1.667% → -3.282%
